epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,6489.66,0.78338,1.644,1.15236,0.29736,0.53097,0.30532,0.22205,1.04049,1.95091,1.30276,6.9264e-05,6.9264e-05,6.9264e-05
42,6645.11,0.77787,1.62278,1.15829,0.29554,0.54066,0.29455,0.21268,1.05354,1.94512,1.30057,6.26706e-05,6.26706e-05,6.26706e-05
43,6800.25,0.77733,1.57175,1.13749,0.29844,0.52396,0.30411,0.22171,1.04366,1.935,1.29456,5.60772e-05,5.60772e-05,5.60772e-05
44,6955.42,0.75298,1.5728,1.13768,0.29811,0.51703,0.30458,0.22055,1.03279,1.93328,1.2825,4.94838e-05,4.94838e-05,4.94838e-05
45,7110.48,0.7473,1.53068,1.11788,0.30353,0.48624,0.29968,0.21659,1.05916,1.93757,1.29509,4.28904e-05,4.28904e-05,4.28904e-05
46,7265.53,0.71811,1.51393,1.10107,0.2963,0.52928,0.30409,0.2199,1.04482,1.89372,1.2886,3.6297e-05,3.6297e-05,3.6297e-05
47,7420.61,0.70659,1.52574,1.09856,0.30163,0.53362,0.30503,0.22369,1.02851,1.89682,1.28137,2.97036e-05,2.97036e-05,2.97036e-05
48,7575.92,0.71596,1.52018,1.09771,0.29273,0.51649,0.2988,0.21869,1.04059,1.92014,1.28499,2.31102e-05,2.31102e-05,2.31102e-05
49,7731.09,0.69623,1.4943,1.08306,0.28601,0.525,0.29337,0.21434,1.0354,1.92318,1.28264,1.65168e-05,1.65168e-05,1.65168e-05
50,7909.13,0.69886,1.50122,1.08942,0.283,0.5269,0.29291,0.21539,1.03373,1.90942,1.28133,9.9234e-06,9.9234e-06,9.9234e-06
